,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
33,neighbourhood_group_cleansed_Other neighborhoods,4372,uint8,0.21774931381518756,0.4127632728195241,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,3420.0,952.0,,,,0.0,0.0
34,neighbourhood_group_cleansed_Rainier Valley,4372,uint8,0.06587374199451052,0.24808964102771838,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4084.0,288.0,,,,0.0,0.0
35,neighbourhood_group_cleansed_University District,4372,uint8,0.04528819762122598,0.20795929554762993,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4174.0,198.0,,,,0.0,0.0
36,zipcode_98052.0,4372,uint8,0.00022872827081427266,0.015123765100472591,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4371.0,1.0,,,,0.0,0.0
37,zipcode_98102.0,4372,uint8,0.06198536139066789,0.2411565433378826,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4101.0,271.0,,,,0.0,0.0
38,zipcode_98104.0,4372,uint8,0.011665141811527904,0.1073857714259134,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4321.0,51.0,,,,0.0,0.0
39,zipcode_98106.0,4372,uint8,0.03499542543458371,0.18378920459228434,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4219.0,153.0,,,,0.0,0.0
40,zipcode_98108.0,4372,uint8,0.023559011893870083,0.15168799463997742,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4269.0,103.0,,,,0.0,0.0
41,zipcode_98110.0,4372,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4372.0,,,,,0.0,0.0
42,zipcode_98115.0,4372,uint8,0.05626715462031107,0.23046325183616764,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4126.0,246.0,,,,0.0,0.0
43,zipcode_98117.0,4372,uint8,0.04414455626715462,0.20543969432134052,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4179.0,193.0,,,,0.0,0.0
44,zipcode_98119.0,4372,uint8,0.027904849039341262,0.16471907716020015,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4250.0,122.0,,,,0.0,0.0
45,zipcode_98122.0,4372,uint8,0.10384263494967978,0.305091186841667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,3918.0,454.0,,,,0.0,0.0
46,zipcode_98126.0,4372,uint8,0.01898444647758463,0.13648552336396053,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4289.0,83.0,,,,0.0,0.0
47,zipcode_98134.0,4372,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4372.0,,,,,0.0,0.0
48,zipcode_98144.0,4372,uint8,0.06953339432753888,0.2543880955602305,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4068.0,304.0,,,,0.0,0.0
49,zipcode_98155.0,4372,uint8,0.0006861848124428179,0.026189135932623498,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4369.0,3.0,,,,0.0,0.0
50,zipcode_98178.0,4372,uint8,0.005032021957913998,0.07076613702131278,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4350.0,22.0,,,,0.0,0.0
51,property_type_Aparthotel,4372,uint8,0.009149130832570906,0.09522341219873579,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4332.0,40.0,,,,0.0,0.0
52,property_type_Apartment,4372,uint8,0.28865507776761207,0.45318903354725326,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,3110.0,1262.0,,,,0.0,0.0
53,property_type_Boat,4372,uint8,0.0004574565416285453,0.021385786972817945,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4370.0,2.0,,,,0.0,0.0
54,property_type_Bungalow,4372,uint8,0.012351326623970723,0.1104606816782389,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4318.0,54.0,,,,0.0,0.0
55,property_type_Camper/RV,4372,uint8,0.0029734675205855443,0.05445460733864021,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4359.0,13.0,,,,0.0,0.0
56,property_type_Chalet,4372,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4372.0,,,,,0.0,0.0
57,property_type_Cottage,4372,uint8,0.004803293687099725,0.06914705835335766,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4351.0,21.0,,,,0.0,0.0
58,property_type_Farm stay,4372,uint8,0.00022872827081427266,0.01512376510047259,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4371.0,1.0,,,,0.0,0.0
59,property_type_Guesthouse,4372,uint8,0.03545288197621226,0.18494268980276524,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4217.0,155.0,,,,0.0,0.0
60,property_type_House,4372,uint8,0.3735132662397072,0.4837919398832382,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2739.0,1633.0,,,,0.0,0.0
61,property_type_Hut,4372,uint8,0.00022872827081427266,0.01512376510047259,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4371.0,1.0,,,,0.0,0.0
62,property_type_Lighthouse,4372,uint8,0.00022872827081427266,0.015123765100472591,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4371.0,1.0,,,,0.0,0.0
63,property_type_Nature lodge,4372,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4372.0,,,,,0.0,0.0
64,property_type_Resort,4372,uint8,0.00022872827081427266,0.01512376510047259,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4371.0,1.0,,,,0.0,0.0
65,property_type_Tent,4372,uint8,0.0016010978956999085,0.03998624882234142,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4365.0,7.0,,,,0.0,0.0
66,property_type_Townhouse,4372,uint8,0.08508691674290943,0.2790429057616814,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4000.0,372.0,,,,0.0,0.0
67,property_type_Villa,4372,uint8,0.00022872827081427266,0.015123765100472588,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4371.0,1.0,,,,0.0,0.0
68,room_type_Entire home/apt,4372,uint8,0.5338517840805124,0.49890980116131806,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,2334.0,2038.0,,,,0.0,0.0
69,room_type_Private room,4372,uint8,0.42909423604757546,0.4950034520733901,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2496.0,1876.0,,,,0.0,0.0
70,instant_bookable_f,4372,uint8,0.5409423604757548,0.49837790357207346,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,2365.0,2007.0,,,,0.0,0.0
71,instant_bookable_t,4372,uint8,0.4590576395242452,0.4983779035720735,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2365.0,2007.0,,,,0.0,0.0
72,cancellation_policy_flexible,4372,uint8,0.2884263494967978,0.45308227129619993,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,3111.0,1261.0,,,,0.0,0.0
73,cancellation_policy_moderate,4372,uint8,0.4139981701738335,0.49260449478570967,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2562.0,1810.0,,,,0.0,0.0
74,cancellation_policy_strict_14_with_grace_period,4372,uint8,0.28865507776761207,0.45318903354725326,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,3110.0,1262.0,,,,0.0,0.0
75,cancellation_policy_super_strict_60,4372,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4372.0,,,,,0.0,0.0
76,price_flag,4372,object,,,,,,,,low,,,,,4372.0,,,,,0.0,0.0
