,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
51,property_type_Aparthotel,4323,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4323.0,,,,,0.0,0.0
52,property_type_Apartment,4323,uint8,0.41753411982419614,0.4932095383387392,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2518.0,1805.0,,,,0.0,0.0
53,property_type_Boat,4323,uint8,0.004163775156141568,0.06440029124216211,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4305.0,18.0,,,,0.0,0.0
54,property_type_Bungalow,4323,uint8,0.01087207957436965,0.1037129000252769,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4276.0,47.0,,,,0.0,0.0
55,property_type_Camper/RV,4323,uint8,0.0013879250520471894,0.03723331036408317,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4317.0,6.0,,,,0.0,0.0
56,property_type_Chalet,4323,uint8,0.0002313208420078649,0.015209235418253772,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4322.0,1.0,,,,0.0,0.0
57,property_type_Cottage,4323,uint8,0.003007170946102244,0.054761497047936925,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4310.0,13.0,,,,0.0,0.0
58,property_type_Farm stay,4323,uint8,0.0002313208420078649,0.01520923541825377,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4322.0,1.0,,,,0.0,0.0
59,property_type_Guesthouse,4323,uint8,0.014110571362479759,0.11796050989308318,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4262.0,61.0,,,,0.0,0.0
60,property_type_House,4323,uint8,0.30326162387231087,0.4597204578611615,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,3012.0,1311.0,,,,0.0,0.0
61,property_type_Hut,4323,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4323.0,,,,,0.0,0.0
62,property_type_Lighthouse,4323,uint8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4323.0,,,,,0.0,0.0
63,property_type_Nature lodge,4323,uint8,0.0002313208420078649,0.01520923541825377,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4322.0,1.0,,,,0.0,0.0
64,property_type_Resort,4323,uint8,0.0002313208420078649,0.01520923541825377,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4322.0,1.0,,,,0.0,0.0
65,property_type_Tent,4323,uint8,0.0002313208420078649,0.015209235418253772,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4322.0,1.0,,,,0.0,0.0
66,property_type_Townhouse,4323,uint8,0.07702984038861901,0.266669634429118,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,3990.0,333.0,,,,0.0,0.0
67,property_type_Villa,4323,uint8,0.0004626416840157298,0.02150661852989586,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4321.0,2.0,,,,0.0,0.0
68,room_type_Entire home/apt,4323,uint8,0.9507286606523248,0.21645903282592643,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,4110.0,213.0,,,,0.0,0.0
69,room_type_Private room,4323,uint8,0.04765209345362017,0.21305368227057245,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4117.0,206.0,,,,0.0,0.0
70,instant_bookable_f,4323,uint8,0.46634281748785567,0.4989236169535593,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2307.0,2016.0,,,,0.0,0.0
71,instant_bookable_t,4323,uint8,0.5336571825121443,0.4989236169535593,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,2307.0,2016.0,,,,0.0,0.0
72,cancellation_policy_flexible,4323,uint8,0.166088364561647,0.37220299000269363,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,3605.0,718.0,,,,0.0,0.0
73,cancellation_policy_moderate,4323,uint8,0.2866065232477446,0.4522284064805751,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,3084.0,1239.0,,,,0.0,0.0
74,cancellation_policy_strict_14_with_grace_period,4323,uint8,0.4346518621327782,0.495768571424172,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2444.0,1879.0,,,,0.0,0.0
75,cancellation_policy_super_strict_60,4323,uint8,0.003932454314133704,0.06259310192263219,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,4306.0,17.0,,,,0.0,0.0
76,price_flag,4323,object,,,,,,,,high,,,,,4323.0,,,,,0.0,0.0
